name,category
Richard Nixon,politician
Forrest Gump,character
the cast of ROSEANNE,character
Lawrence Welk,musician
Forrest Gump’s Mom,character
the Sunglasses Emoji,emoji
Ecco the Dolphin,character
Wade Boggs,athlete
Jimmy Carter,politician
Goku,character
Vegeta,character
Piccolo,character
Super Saiyan Goku,character
Super Saiyan 2 Goku,character
Super Saiyan 3 Goku,character
David Foster Wallace,writer
Truman Capote,writer
Huckleberry Hound,character
Snagglepuss,character
the cast of A PUP NAMED SCOOBY DOO,character
Murphy Brown,character
Gerald Ford,politician
Lyndon B. Johnson,politcian
Elliott Smith,musician
Neutral Milk Hotel,musician
Uncle Phil,character
Aunt Viv,character
Tim “the Tool Man” Taylor,character
Margaret Thatcher,politician
the cast of A LEAGUE OF THEIR OWN,character
a Xenomorph,character
a Predator,character
the Beatles,musician
J. Edgar Hoover,politician
Scottie Pippen,athlete
Doug Funnie,character
Mac Tonight,character
Grimace,character
Free Willy,character
VR Troopers,character
Batman (Val Kilmer),character/actor
Harry Caray,athlete
Prince,musician
Ray Romano,actor
Captain America,character
Squints from THE SANDLOT,character
the Noid,character
the Burger King Kids Club Gang,character
"Lefty, the Hamburger Helper mascot",character
the hosts of WILD & CRAZY KIDS,character
Olmec,character
the Green Ranger,character
the Pink Ranger,character
Barry B. Benson,character
Kramer,character
Seinfeld,character
Yao Ming,character
Austin Powers,character
Lawnmower Man,character
Thom Yorke,musician
Lieutenant Dan,character
Street Sharks,character
Sailor Moon,character
Tuxedo Mask,character
Steve Jobs,inventor
"the “Dude, you’re getting a Dell.” guy",character
the “Can you hear me now?” guy (Verizon),character
the “Can you hear me now?” guy (Sprint),mascot
Margot Martindale,actor
CGI Tom Hanks from THE POLAR EXPRESS,character
the Indian in the Cupboard,character
Mike Huckabee’s large adult sons,politician
Michael Caine,actor
George H. W. Bush,politician
Homer Simpson,character
Marge Simpson,character
Maggie Simpson,character
Waylon Smithers,character
Lisa Simpson,character
Max Hedroom,character
Thomas Pynchon,writer
Sylvia Plath,writer
Buddy Holly,musician
Don Draper,character
the family from DINOSAURS,character
Snoopy,character
Link,character
Mario,character
Waluigi,character
Ulysses S. Grant,politician
Chester A. Arthur,politician
John Quincy Adams,politician
Alexander Hamilton,politician
Sean Archer as Castor Troy from FACE/OFF,character
Castor Troy as Sean Archer from FACE/OFF,character
Tweety Bird,character
Porky Pig,character
Betty Draper,character
the Statue of Liberty from GHOSTBUSTERS II,character
Captain Planet,character
Abraham Lincoln,politcian
Benjamin Franklin,politcian
Thomas Jefferson,politcian
Franklin D. Roosevelt,politcian
John F. Kennedy,politcian
Ladybird Johnson,politician
Yosemite Sam,character
Rocko from ROCKO’S MODERN LIFE,character
Steve Bartman,athlete
Bartman,character
Darkwing Duck,character
Scrooge McDuck,character
